Tentacruel	80	70	65	80	120	100	515
Geodude	40	80	100	30	30	20	300
Graveler	55	95	115	45	45	35	390
Golem	80	110	130	55	65	45	485
Ponyta	50	85	55	65	65	90	410
Rapidash	65	100	70	80	80	105	500
Slowpoke	90	65	65	40	40	15	315
Slowbro	95	75	110	100	80	30	490
Magnemite	25	35	70	95	55	45	325
Magneton	50	60	95	120	70	70	465
Farfetch'd	52	65	55	58	62	60	352
Doduo	35	85	45	35	35	75	310
Dodrio	60	110	70	60	60	100	460
Seel	65	45	55	45	70	45	325
Dewgong	90	70	80	70	95	70	475
Grimer	80	80	50	40	50	25	325
Muk	105	105	75	65	100	50	500
Shellder	30	65	100	45	25	40	305
Cloyster	50	90	180	85	45	70	520
Gastly	30	35	30	100	35	80	310
Haunter	45	50	45	115	55	95	405
Gengar	60	65	60	130	75	110	500
Onix	35	45	160	30	45	70	385
Drowzee	60	48	45	43	90	42	328
Hypno	85	73	70	73	115	67	483
Krabby	30	105	90	25	25	50	325
Kingler	55	130	115	50	50	75	475
Voltorb	40	30	50	55	55	100	330
Electrode	60	50	70	80	80	140	480
Exeggcute	60	40	80	60	45	40	325
Exeggutor	95	95	85	125	65	55	520
Cubone	50	50	95	40	50	35	320
Marowak	60	80	110	50	80	45	425
Hitmonlee	50	120	53	35	110	87	455
Hitmonchan	50	105	79	35	110	76	455
Lickitung	90	55	75	60	75	30	385
Koffing	40	65	95	60	45	35	340
Weezing	65	90	120	85	70	60	490
Rhyhorn	80	85	95	30	30	25	345
Rhydon	105	130	120	45	45	40	485
Chansey	250	5	5	35	105	50	450
Tangela	65	55	115	100	40	60	435
Kangaskhan	105	95	80	40	80	90	490
Horsea	30	40	70	70	25	60	295
Seadra	55	65	95	95	45	85	440
Goldeen	45	67	60	35	50	63	320
Seaking	80	92	65	65	80	68	450
Staryu	30	45	55	70	55	85	340
Starmie	60	75	85	100	85	115	520
Mr.Mime	40	45	65	100	120	90	460
Scyther	70	110	80	55	80	105	500
Jynx	65	50	35	115	95	95	455
Electabuzz	65	83	57	95	85	105	490
Magmar	65	95	57	100	85	93	495
Pinsir	65	125	100	55	70	85	500
Tauros	75	100	95	40	70	110	490
Magikarp	20	10	55	15	20	80	200
Gyarados	95	125	79	60	100	81	540
Lapras	130	85	80	85	95	60	535
Ditto	48	48	48	48	48	48	288
Eevee	55	55	50	45	65	55	325
Vaporeon	130	65	60	110	95	65	525
Jolteon	65	65	60	110	95	130	525
Flareon	65	130	60	95	110	65	525
Porygon	65	60	70	85	75	40	395
Omanyte	35	40	100	90	55	35	355
Omastar	70	60	125	115	70	55	495
Kabuto	30	80	90	55	45	55	355
Kabutops	60	115	105	65	70	80	495
Aerodactyl	80	105	65	60	75	130	515
Snorlax	160	110	65	65	110	30	540
Articuno	90	85	100	95	125	85	580
Zapdos	90	90	85	125	90	100	580
Moltres	90	100	90	125	85	90	580
Dratini	41	64	45	50	50	50	300
Dragonair	61	84	65	70	70	70	420
Dragonite	91	134	95	100	100	80	600
Mewtwo	106	110	90	154	90	130	680
Mew	100	100	100	100	100	100	600
Chikorita	45	49	65	49	65	45	318
Bayleef	60	62	80	63	80	69	414
Meganium	80	82	100	83	100	80	525
Cyndaquil	39	52	43	60	50	65	309
Quilava	58	64	58	80	65	80	405
Typhlosion	78	84	78	109	85	100	534
Totodile	50	65	64	44	48	43	314
Croconaw	65	80	80	59	63	58	405
Feraligatr	85	105	100	79	83	78	530
Sentret	35	46	34	35	45	20	215
Furret	85	76	64	45	55	90	415
Hoothoot	60	30	30	36	56	50	262
Noctowl	100	50	50	76	96	70	442
Ledyba	40	20	30	40	80	55	265
Ledian	55	35	50	55	110	85	390
Spinarak	40	60	40	40	40	30	250
Ariados	70	90	70	60	60	40	390
Crobat	85	90	80	70	80	130	535
Chinchou	75	38	38	56	56	67	330
Lanturn	125	58	58	76	76	67	460
Pichu	20	40	15	35	35	60	205
Cleffa	50	25	28	45	55	15	218
Igglybuff	90	30	15	40	20	15	210
Togepi	35	20	65	40	65	20	245
Togetic	55	40	85	80	105	40	405
Natu	40	50	45	70	45	70	320
Xatu	65	75	70	95	70	95	470
Mareep	55	40	40	65	45	35	280
Flaaffy	70	55	55	80	60	45	365
Ampharos	90	75	75	115	90	55	500
Bellossom	75	80	85	90	100	50	480
Marill	70	20	50	20	50	40	250
Azumarill	100	50	80	50	80	50	410
Sudowoodo	70	100	115	30	65	30	410
Politoed	90	75	75	90	100	70	500
Hoppip	35	35	40	35	55	50	250
Skiploom	55	45	50	45	65	80	340
Jumpluff	75	55	70	55	85	110	450
Aipom	55	70	55	40	55	85	360
Sunkern	30	30	30	30	30	30	180
Sunflora	75	75	55	105	85	30	425
Yanma	65	65	45	75	45	95	390
Wooper	55	45	45	25	25	15	210
Quagsire	95	85	85	65	65	35	430
Espeon	65	65	60	130	95	110	525
Umbreon	95	65	110	60	130	65	525
Murkrow	60	85	42	85	42	91	405
Slowking	95	75	80	100	110	30	490
Misdreavus	60	60	60	85	85	85	435
Unown	48	72	48	72	48	48	336
Wobbuffet	190	33	58	33	58	33	405
Girafarig	70	80	65	90	65	85	455
Pineco	50	65	90	35	35	15	290
Forretress	75	90	140	60	60	40	465
Dunsparce	100	70	70	65	65	45	415
Gligar	65	75	105	35	65	85	430
Steelix	75	85	200	55	65	30	510
Snubbull	60	80	50	40	40	30	300
Granbull	90	120	75	60	60	45	450
Qwilfish	65	95	75	55	55	85	430
Scizor	70	130	100	55	80	65	500
Shuckle	20	10	230	10	230	5	505
Heracross	80	125	75	40	95	85	500
Sneasel	55	95	55	35	75	115	430
Teddiursa	60	80	50	50	50	40	330
Ursaring	90	130	75	75	75	55	500
Slugma	40	40	40	70	40	20	250
Magcargo	50	50	120	80	80	30	410
Swinub	50	50	40	30	30	50	250
Piloswine	100	100	80	60	60	50	450
Corsola	55	55	85	65	85	35	380
Remoraid	35	65	35	65	35	65	300
Octillery	75	105	75	105	75	45	480
Delibird	45	55	45	65	45	75	330
Mantine	65	40	70	80	140	70	465
Skarmory	65	80	140	40	70	70	465
Houndour	45	60	30	80	50	65	330
Houndoom	75	90	50	110	80	95	500
Kingdra	75	95	95	95	95	85	540
Phanpy	90	60	60	40	40	40	330
Donphan	90	120	120	60	60	50	500
Porygon2	85	80	90	105	95	60	515
Stantler	73	95	62	85	65	85	465
Smeargle	55	20	35	20	45	75	250
Tyrogue	35	35	35	35	35	35	210
Hitmontop	50	95	95	35	110	70	455
Smoochum	45	30	15	85	65	65	305
Elekid	45	63	37	65	55	95	360
Magby	45	75	37	70	55	83	365
Miltank	95	80	105	40	70	100	490
Blissey	255	10	10	75	135	55	540
Raikou	90	85	75	115	100	115	580
Entei	115	115	85	90	75	100	580
Suicune	100	75	115	90	115	85	580
Larvitar	50	64	50	45	50	41	300
Pupitar	70	84	70	65	70	51	410
Tyranitar	100	134	110	95	100	61	600
Lugia	106	90	130	90	154	110	680
Ho-oh	106	130	90	110	154	90	680
Celebi	100	100	100	100	100	100	600
Treecko	40	45	35	65	55	70	310
Grovyle	50	65	45	85	65	95	405
Sceptile	70	85	65	105	85	120	530
Torchic	45	60	40	70	50	45	310
Combusken	60	85	60	85	60	55	405
Blaziken	80	120	70	110	70	80	530
Mudkip	50	70	50	50	50	40	310
Marshtomp	70	85	70	60	70	50	405
Swampert	100	110	90	85	90	60	535
Poochyena	35	55	35	30	30	35	220
Mightyena	70	90	70	60	60	70	420
Zigzagoon	38	30	41	30	41	60	240
Linoone	78	70	61	50	61	100	420
Wurmple	45	45	35	20	30	20	195
Silcoon	50	35	55	25	25	15	205
Beautifly	60	70	50	90	50	65	385
Cascoon	50	35	55	25	25	15	205
Dustox	60	50	70	50	90	65	385
Lotad	40	30	30	40	50	30	220
Lombre	60	50	50	60	70	50	340
Ludicolo	80	70	70	90	100	70	480
Seedot	40	40	50	30	30	30	220
Nuzleaf	70	70	40	60	40	60	340
Shiftry	90	100	60	90	60	80	480
Taillow	40	55	30	30	30	85	270
Swellow	60	85	60	50	50	125	430
Wingull	40	30	30	55	30	85	270
Pelipper	60	50	100	85	70	65	430
Ralts	28	25	25	45	35	40	198
Kirlia	38	35	35	65	55	50	278
Gardevoir	68	65	65	125	115	80	518
Surskit	40	30	32	50	52	65	269
Masquerain	70	60	62	80	82	60	414
Shroomish	60	40	60	40	60	35	295
Breloom	60	130	80	60	60	70	460
Slakoth	60	60	60	35	35	30	280
Vigoroth	80	80	80	55	55	90	440
Slaking	150	160	100	95	65	100	670
Nincada	31	45	90	30	30	40	266
Ninjask	61	90	45	50	50	160	456
Shedinja	1	90	45	30	30	40	236
Whismur	64	51	23	51	23	28	240
Loudred	84	71	43	71	43	48	360
Exploud	104	91	63	91	63	68	480
Makuhita	72	60	30	20	30	25	237
Hariyama	144	120	60	40	60	50	474
Azurill	50	20	40	20	40	20	190
Nosepass	30	45	135	45	90	30	375
Skitty	50	45	45	35	35	50	260
Delcatty	70	65	65	55	55	70	380
Sableye	50	75	75	65	65	50	380
Mawile	50	85	85	55	55	50	380
Aron	50	70	100	40	40	30	330
Lairon	60	90	140	50	50	40	430
Aggron	70	110	180	60	60	50	530
Meditite	30	40	55	40	55	60	280
Medicham	60	60	75	60	75	80	410
Electrike	40	45	40	65	40	65	295
Manectric	70	75	60	105	60	105	475
Plusle	60	50	40	85	75	95	405
Minun	60	40	50	75	85	95	405
Volbeat	65	73	55	47	75	85	400
Illumise	65	47	55	73	75	85	400
Roselia	50	60	45	100	80	65	400
Gulpin	70	43	53	43	53	40	302
Swalot	100	73	83	73	83	55	467
Carvanha	45	90	20	65	20	65	305
Sharpedo	70	120	40	95	40	95	460
Wailmer	130	70	35	70	35	60	400
Wailord	170	90	45	90	45	60	500
Numel	60	60	40	65	45	35	305
Camerupt	70	100	70	105	75	40	460
Torkoal	70	85	140	85	70	20	470
Spoink	60	25	35	70	80	60	330
Grumpig	80	45	65	90	110	80	470
Spinda	60	60	60	60	60	60	360
Trapinch	45	100	45	45	45	10	290
Vibrava	50	70	50	50	50	70	340
Flygon	80	100	80	80	80	100	520
Cacnea	50	85	40	85	40	35	335
Cacturne	70	115	60	115	60	55	475
Swablu	45	40	60	40	75	50	310
Altaria	75	70	90	70	105	80	490
Zangoose	73	115	60	60	60	90	458
Seviper	73	100	60	100	60	65	458
Lunatone	70	55	65	95	85	70	440
Solrock	70	95	85	55	65	70	440
Barboach	50	48	43	46	41	60	288
Whiscash	110	78	73	76	71	60	468
Corphish	43	80	65	50	35	35	308
Crawdaunt	63	120	85	90	55	55	468
Baltoy	40	40	55	40	70	55	300
Claydol	60	70	105	70	120	75	500
Lileep	66	41	77	61	87	23	355
Cradily	86	81	97	81	107	43	495
Anorith	45	95	50	40	50	75	355
Armaldo	75	125	100	70	80	45	495
Feebas	20	15	20	10	55	80	200
Milotic	95	60	79	100	125	81	540
Castform	70	70	70	70	70	70	420
Kecleon	60	90	70	60	120	40	440
Shuppet	44	75	35	63	33	45	295
Banette	64	115	65	83	63	65	455
Duskull	20	40	90	30	90	25	295
Dusclops	40	70	130	60	130	25	455
Tropius	99	68	83	72	87	51	460
Chimecho	65	50	70	95	80	65	425
Absol	65	130	60	75	60	75	465
Wynaut	95	23	48	23	48	23	260
Snorunt	50	50	50	50	50	50	300
Glalie	80	80	80	80	80	80	480
Spheal	70	40	50	55	50	25	290
Sealeo	90	60	70	75	70	45	410
Walrein	110	80	90	95	90	65	530
Clamperl	35	64	85	74	55	32	345
Huntail	55	104	105	94	75	52	485
Gorebyss	55	84	105	114	75	52	485
Relicanth	100	90	130	45	65	55	485
Luvdisc	43	30	55	40	65	97	330
Bagon	45	75	60	40	30	50	300
Shelgon	65	95	100	60	50	50	420
Salamence	95	135	80	110	80	100	600
Beldum	40	55	80	35	60	30	300
Metang	60	75	100	55	80	50	420
Metagross	80	135	130	95	90	70	600
Regirock	80	100	200	50	100	50	580
Regice	80	50	100	100	200	50	580
Registeel	80	75	150	75	150	50	580
Latias	80	80	90	110	130	110	600
Latios	80	90	80	130	110	110	600
Kyogre	100	100	90	150	140	90	670
Groudon	100	150	140	100	90	90	670
Rayquaza	105	150	90	150	90	95	680
Jirachi	100	100	100	100	100	100	600
Deoxys	50	150	50	150	50	150	600
Turtwig	55	68	64	45	55	31	318
Grotle	75	89	85	55	65	36	405
Torterra	95	109	105	75	85	56	525
Chimchar	44	58	44	58	44	61	309
Monferno	64	78	52	78	52	81	405
Infernape	76	104	71	104	71	108	534
Piplup	53	51	53	61	56	40	314
Prinplup	64	66	68	81	76	50	405
Empoleon	84	86	88	111	101	60	530
Starly	40	55	30	30	30	60	245
Staravia	55	75	50	40	40	80	340
Staraptor	85	120	70	50	50	100	475
Bidoof	59	45	40	35	40	31	250
Bibarel	79	85	60	60	71	55	410
Kricketot	37	25	41	25	41	25	194
Kricketune	77	85	51	55	51	65	384
Shinx	45	65	34	40	34	45	263
Luxio	60	85	49	60	49	60	363
Luxray	80	120	79	95	79	70	523
Budew	40	30	35	50	70	55	280
Roserade	60	70	55	125	105	90	505
Cranidos	67	125	40	30	30	58	350
Rampardos	97	165	60	65	50	58	495
Shieldon	30	42	118	42	88	30	350
Bastiodon	60	52	168	47	138	30	495
Burmy	40	29	45	29	45	36	224
Wormadam	60	79	105	59	85	36	424
Mothim	70	94	50	94	50	66	424
Combee	30	30	42	30	42	70	244
Vespiquen	70	80	102	80	102	40	474
Pachirisu	60	45	70	45	90	95	405
Buizel	55	65	35	60	30	85	330
Floatzel	85	105	55	85	50	115	495
Cherubi	45	35	45	62	53	35	275
Cherrim	70	60	70	87	78	85	450
Shellos	76	48	48	57	62	34	325
Gastrodon	111	83	68	92	82	39	475
Ambipom	75	100	66	60	66	115	482
Drifloon	90	50	34	60	44	70	348
Drifblim	150	80	44	90	54	80	498
Buneary	55	66	44	44	56	85	350
Lopunny	65	76	84	54	96	105	480
Mismagius	60	60	60	105	105	105	495
Honchkrow	100	125	52	105	52	71	505
Glameow	49	55	42	42	37	85	310
Purugly	71	82	64	64	59	112	452
Chingling	45	30	50	65	50	45	285
Stunky	63	63	47	41	41	74	329
Skuntank	103	93	67	71	61	84	479
Bronzor	57	24	86	24	86	23	300
Bronzong	67	89	116	79	116	33	500
Bonsly	50	80	95	10	45	10	290
MimeJr.	20	25	45	70	90	60	310
Happiny	100	5	5	15	65	30	220
Chatot	76	65	45	92	42	91	411
Spiritomb	50	92	108	92	108	35	485
Gible	58	70	45	40	45	42	300
Gabite	68	90	65	50	55	82	410
Garchomp	108	130	95	80	85	102	600
Munchlax	135	85	40	40	85	5	390
Riolu	40	70	40	35	40	60	285
Lucario	70	110	70	115	70	90	525
Hippopotas	68	72	78	38	42	32	330
Hippowdon	108	112	118	68	72	47	525
Skorupi	40	50	90	30	55	65	330
Drapion	70	90	110	60	75	95	500
Croagunk	48	61	40	61	40	50	300
Toxicroak	83	106	65	86	65	85	490
Carnivine	74	100	72	90	72	46	454
Finneon	49	49	56	49	61	66	330
Lumineon	69	69	76	69	86	91	460
Mantyke	45	20	50	60	120	50	345
Snover	60	62	50	62	60	40	334
Abomasnow	90	92	75	92	85	60	494
Weavile	70	120	65	45	85	125	510
Magnezone	70	70	115	130	90	60	535
Lickilicky	110	85	95	80	95	50	515
Rhyperior	115	140	130	55	55	40	535
Tangrowth	100	100	125	110	50	50	535
Electivire	75	123	67	95	85	95	540
Magmortar	75	95	67	125	95	83	540
Togekiss	85	50	95	120	115	80	545
Yanmega	86	76	86	116	56	95	515
Leafeon	65	110	130	60	65	95	525
Glaceon	65	60	110	130	95	65	525
Gliscor	75	95	125	45	75	95	510
Mamoswine	110	130	80	70	60	80	530
Porygon-Z	85	80	70	135	75	90	535
Gallade	68	125	65	65	115	80	518
Probopass	60	55	145	75	150	40	525
Dusknoir	45	100	135	65	135	45	525
Froslass	70	80	70	80	70	110	480
Rotom	50	50	77	95	77	91	440
Rotom	50	65	107	105	107	86	520
Uxie	75	75	130	75	130	95	580
Mesprit	80	105	105	105	105	80	580
Azelf	75	125	70	125	70	115	580
Dialga	100	120	120	150	100	90	680
Palkia	90	120	100	150	120	100	680
Heatran	91	90	106	130	106	77	600
Regigigas	110	160	110	80	110	100	670
Giratina	150	120	100	120	100	90	680
Cresselia	120	70	120	75	130	85	600
Phione	80	80	80	80	80	80	480
Manaphy	100	100	100	100	100	100	600
Darkrai	70	90	90	135	90	125	600
Shaymin	100	100	100	100	100	100	600
Arceus	120	120	120	120	120	120	720
Victini	100	100	100	100	100	100	600
Snivy	45	45	55	45	55	63	308
Servine	60	60	75	60	75	83	413
Serperior	75	75	95	75	95	113	528
Tepig	65	63	45	45	45	45	308
Pignite	90	93	55	70	55	55	418
Emboar	110	123	65	100	65	65	528
Oshawott	55	55	45	63	45	45	308
Dewott	75	75	60	83	60	60	413
Samurott	95	100	85	108	70	70	528
Patrat	45	55	39	35	39	42	255
Watchog	60	85	69	60	69	77	420
Lillipup	45	60	45	25	45	55	275
Herdier	65	80	65	35	65	60	370
Stoutland	85	100	90	45	90	80	490
Purrloin	41	50	37	50	37	66	281
Liepard	64	88	50	88	50	106	446
Pansage	50	53	48	53	48	64	316
Simisage	75	98	63	98	63	101	498
Pansear	50	53	48	53	48	64	316
Simisear	75	98	63	98	63	101	498
Panpour	50	53	48	53	48	64	316
Simipour	75	98	63	98	63	101	498
Munna	76	25	45	67	55	24	292
Musharna	116	55	85	107	95	29	487
Pidove	50	55	50	36	30	43	264
Tranquill	62	77	62	50	42	65	358
Unfezant	80	105	80	65	55	93	478
Blitzle	45	60	32	50	32	76	295
Zebstrika	75	100	63	80	63	116	497
Roggenrola	55	75	85	25	25	15	280
Boldore	70	105	105	50	40	20	390
Gigalith	85	135	130	60	70	25	505
Woobat	55	45	43	55	43	72	313
Swoobat	67	57	55	77	55	114	425
Drilbur	60	85	40	30	45	68	328
Excadrill	110	135	60	50	65	88	508
Audino	103	60	86	60	86	50	445
Timburr	75	80	55	25	35	35	305
Gurdurr	85	105	85	40	50	40	405
Conkeldurr	105	140	95	55	65	45	505
Tympole	50	50	40	50	40	64	294
Palpitoad	75	65	55	65	55	69	384
Seismitoad	105	85	75	85	75	74	499
Throh	120	100	85	30	85	45	465
Sawk	75	125	75	30	75	85	465
Sewaddle	45	53	70	40	60	42	310
Swadloon	55	63	90	50	80	42	380
Leavanny	75	103	80	70	70	92	490
Venipede	30	45	59	30	39	57	260
Whirlipede	40	55	99	40	79	47	360
Scolipede	60	90	89	55	69	112	475
Cottonee	40	27	60	37	50	66	280
Whimsicott	60	67	85	77	75	116	480
Petilil	45	35	50	70	50	30	280
Lilligant	70	60	75	110	75	90	480
Basculin	70	92	65	80	55	98	460
Sandile	50	72	35	35	35	65	292
Krokorok	60	82	45	45	45	74	351
Krookodile	95	117	70	65	70	92	509
Darumaka	70	90	45	15	45	50	315
Darmanitan	105	140	55	30	55	95	480
Maractus	75	86	67	106	67	60	461
Dwebble	50	65	85	35	35	55	325
Crustle	70	95	125	65	75	45	475
Scraggy	50	75	70	35	70	48	348
Scrafty	65	90	115	45	115	58	488
Sigilyph	72	58	80	103	80	97	490
Yamask	38	30	85	55	65	30	303
Cofagrigus	58	50	145	95	105	30	483
Tirtouga	54	78	103	53	45	22	355
Carracosta	74	108	133	83	65	32	495
Archen	55	112	45	74	45	70	401
Archeops	75	140	65	112	65	110	567
Trubbish	50	50	62	40	62	65	329
Garbodor	80	95	92	60	82	75	484
Zorua	40	65	40	80	40	65	330
Zoroark	60	105	60	120	60	105	510
Minccino	55	50	40	40	40	75	300
Ciccino	75	95	60	65	60	115	470
Gothita	45	30	50	55	65	45	290
Gothorita	60	45	70	75	85	55	390
Gothitelle	70	55	95	95	110	65	490
Solosis	45	30	40	105	50	20	290
Duosion	65	40	50	125	60	30	370
Reuniclus	110	65	75	125	85	30	490
Ducklett	62	44	50	44	50	55	305
Swanna	75	87	63	87	63	98	473
Vanillite	36	50	50	65	60	44	305
Vanillish	51	65	65	80	75	59	395
Vanilluxe	71	95	85	110	95	79	535
Deerling	60	60	50	40	50	75	335
Sawsbuck	80	100	70	60	70	95	475
Emolga	55	75	60	75	60	103	428
Karrablast	50	75	45	40	45	60	315
Escavalier	70	135	105	60	105	20	495
Foongus	69	55	45	55	55	15	294
Amoonguss	114	85	70	85	80	30	464
Frillish	55	40	50	65	85	40	335
Jellicent	100	60	70	85	105	60	480
Alomomola	165	75	80	40	45	65	470
Joltik	50	47	50	57	50	65	319
Galvantula	70	77	60	97	60	108	472
Ferroseed	44	50	91	24	86	10	305
Ferrothorn	74	94	131	54	116	20	489
Klink	40	55	70	45	60	30	300
Klang	60	80	95	70	85	50	440
Klinklang	60	100	115	70	85	90	520
Tynamo	35	55	40	45	40	60	275
Eelektrik	65	85	70	75	70	40	405
Eelektross	85	115	80	105	80	50	515
Elgyem	55	55	55	85	55	30	335
Beheeyem	75	75	75	125	95	40	485
Litwick	50	30	55	65	55	20	275
Lampent	60	40	60	95	60	55	370
Chandelure	60	55	90	145	90	80	520
Axew	46	87	60	30	40	57	320
Fraxure	66	117	70	40	50	67	410
Haxorus	76	147	90	60	70	97	540
Cubchoo	55	70	40	60	40	40	305
Beartic	95	110	80	70	80	50	485
Cryogonal	70	50	30	95	135	105	485
Shelmet	50	40	85	40	65	25	305
Accelgor	80	70	40	100	60	145	495
Stunfisk	109	66	84	81	99	32	471
Mienfoo	45	85	50	55	50	65	350
Mienshao	65	125	60	95	60	105	510
Druddigon	77	120	90	60	90	48	485
Golett	59	74	50	35	50	35	303
Golurk	89	124	80	55	80	55	483
Pawniard	45	85	70	40	40	60	340
Bisharp	65	125	100	60	70	70	490
Bouffalant	95	110	95	40	95	55	490
Rufflet	70	83	50	37	50	60	350
Braviary	100	123	75	57	75	80	510
Vullaby	70	55	75	45	65	60	370
Mandibuzz	110	65	105	55	95	80	510
Heatmor	85	97	66	105	66	65	484
Durant	58	109	112	48	48	109	484
Deino	52	65	50	45	50	38	300
Zweilous	72	85	70	65	70	58	420
Hydreigon	92	105	90	125	90	98	600
Larvesta	55	85	55	50	55	60	360
Volcarona	85	60	65	135	105	100	550
Cobalion	91	90	129	90	72	108	580
Terrakion	91	129	90	72	90	108	580
Virizion	91	90	72	90	129	108	580
Tornadus	79	115	70	125	80	111	580
Thundurus	79	115	70	125	80	111	580
Reshiram	100	120	100	150	120	90	680
Zekrom	100	150	120	120	100	90	680
Landorus	89	125	90	115	80	101	600
Kyurem	125	130	90	130	90	95	660
Keldeo	91	72	90	129	90	108	580
Meloetta	100	128	90	77	77	128	600
Genesect	71	120	95	120	95	99	600
